line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 230,2024,9,3542,1805,1511
Line 230,2024,10,3499,1898,1587
Line 230,2024,11,3250,1804,1480
Line 230,2024,12,2947,1859,1396
Line 230,2025,1,3148,1777,1448
Line 230,2025,2,3258,1906,1634
Line 230,2025,3,3270,1919,1609
Line 230,2025,4,3348,1922,1621
Line 230,2025,5,3514,1856,1612
Line 232,2024,7,4453,3424,3124
Line 232,2024,8,4645,3471,3171
Line 232,2024,9,4728,3570,3180
Line 232,2024,10,4730,3627,3183
Line 232,2024,11,4445,3214,2708
Line 232,2024,12,4424,3012,2651
Line 232,2025,1,4512,3092,2840
Line 232,2025,2,4331,3437,3178
Line 232,2025,3,4386,3185,2956
Line 232,2025,4,4518,3282,3019
Line 232,2025,5,4737,3302,3178
Line 233,2024,7,12297,9905,8477
Line 233,2024,8,13151,10132,9033
Line 233,2024,9,14121,10266,8795
Line 233,2024,10,14106,10526,9099
Line 233,2024,11,13181,10201,8551
Line 233,2024,12,12695,9581,8156
Line 233,2025,1,12520,9515,7394
Line 233,2025,2,12806,10095,8809
Line 233,2025,3,13025,10123,9056
Line 233,2025,4,13489,9738,8816
Line 233,2025,5,13765,9939,8618
Line 234,2024,7,8205,5644,4705
Line 234,2024,8,9071,5914,4852
Line 234,2024,9,9999,5775,4806
Line 234,2024,10,9732,6018,4993
Line 234,2024,11,9167,5873,4769
Line 234,2024,12,8351,5805,4779
Line 234,2025,1,8445,5646,4594
Line 234,2025,2,8746,6201,5147
Line 234,2025,3,9150,6240,5031
Line 234,2025,4,9332,5860,5159
Line 234,2025,5,9620,5926,5218
Line 236,2024,7,1608,740,555
Line 236,2024,8,1906,735,612
Line 236,2024,9,2110,673,539
Line 236,2024,10,2142,739,618
Line 236,2024,11,1989,784,544
Line 236,2024,12,1762,657,525
Line 236,2025,1,1831,682,559
Line 236,2025,2,1928,811,687
Line 236,2025,3,1965,779,670
Line 236,2025,4,2024,696,635
Line 236,2025,5,2129,765,659
Line 237,2024,7,1416,1125,989
Line 237,2024,8,1712,1191,1011
Line 237,2024,9,1976,1191,986
Line 237,2024,10,1961,1223,1060
Line 237,2024,11,1851,1197,969
Line 237,2024,12,1736,1030,918
Line 237,2025,1,1606,949,990
Line 237,2025,2,1729,1113,984
Line 237,2025,3,1838,1252,1076
Line 237,2025,4,1899,1243,1169
Line 237,2025,5,1964,1277,1177
Line 240,2024,7,10726,7740,6455
Line 240,2024,8,11710,7854,6967
Line 240,2024,9,13218,8301,6935
Line 240,2024,10,13020,8185,7089
Line 240,2024,11,12349,8090,6607
Line 240,2024,12,11190,7666,6526
Line 240,2025,1,11201,7459,6466
Line 240,2025,2,12127,8064,7246
Line 240,2025,3,12214,8197,7236
Line 240,2025,4,12573,8478,6878
Line 240,2025,5,12303,8351,7405
Line 242,2024,7,1473,1010,827
Line 242,2024,8,1755,1031,859
Line 242,2024,9,2006,1094,852
Line 242,2024,10,2108,1110,937
Line 242,2024,11,1958,1129,869
Line 242,2024,12,1719,1131,975
Line 242,2025,1,1723,1145,868
Line 242,2025,2,1776,1184,1000
Line 242,2025,3,1944,1217,994
Line 242,2025,4,1937,1147,1020
Line 242,2025,5,2026,1146,1012
Line 244,2024,7,1434,771,625
Line 244,2024,8,1826,885,649
Line 244,2024,9,1990,898,708
Line 244,2024,10,2011,910,733
Line 244,2024,11,1840,827,722
Line 244,2024,12,1616,889,663
Line 244,2025,1,1779,910,640
Line 244,2025,2,1938,920,738
Line 244,2025,3,2023,934,750
Line 244,2025,4,1936,904,713
Line 244,2025,5,2195,913,753
Line 246,2024,7,2988,2428,2286
Line 246,2024,8,3196,2512,2383
Line 246,2024,9,3222,2527,2229
Line 246,2024,10,3328,2627,2402
Line 246,2024,11,3134,2301,2093
Line 246,2024,12,3069,2444,1952
Line 246,2025,1,3146,2456,2112
Line 246,2025,2,3132,2528,2388
Line 246,2025,3,3148,2545,2209
Line 246,2025,4,3102,2534,2386
Line 246,2025,5,3302,2471,2259
Line 251,2024,7,13245,8284,6702
Line 251,2024,8,14033,8077,6485
Line 251,2024,9,15337,8608,6661
Line 251,2024,10,15733,9247,6964
Line 251,2024,11,14821,8510,6676
Line 251,2024,12,14027,8157,6255
Line 251,2025,1,14697,8295,5947
Line 251,2025,2,14178,8808,6777
Line 251,2025,3,14781,8399,6814
Line 251,2025,4,14663,8808,6929
Line 251,2025,5,15429,8580,7018
Line 256,2024,7,467,524,489
Line 256,2024,8,517,549,445
Line 256,2024,9,561,579,481
Line 256,2024,10,567,458,389
Line 256,2024,11,529,526,486
Line 256,2024,12,289,237,106
Line 258,2024,7,1875,986,861
Line 258,2024,8,2115,1031,900
Line 258,2024,9,2427,1027,879
Line 258,2024,10,2453,1079,890
Line 258,2024,11,2222,1041,898
Line 258,2024,12,2067,917,815
Line 258,2025,1,2101,967,769
Line 258,2025,2,2247,1208,895
Line 258,2025,3,2204,1181,843
Line 258,2025,4,2292,1102,914
Line 258,2025,5,2245,1051,968
Line 260,2024,7,10037,6891,5494
Line 260,2024,8,10515,6832,5632
Line 260,2024,9,11588,6575,5546
Line 260,2024,10,11621,6975,5607
Line 260,2024,11,11018,6865,5663
Line 260,2024,12,10264,6331,5057
Line 260,2025,1,10897,6783,4977
Line 260,2025,2,10776,6923,5594
Line 260,2025,3,10907,6939,5615
Line 260,2025,4,11179,6809,5755
Line 260,2025,5,11425,6984,5867
Line 265,2024,7,1018,595,523
Line 265,2024,8,1187,618,594
Line 265,2024,9,1331,732,584
Line 265,2024,10,1375,627,571
Line 265,2024,11,1331,690,576
Line 265,2024,12,1265,636,541
Line 265,2025,1,1269,654,552
Line 265,2025,2,1201,592,622
Line 265,2025,3,1282,687,564
Line 265,2025,4,1304,640,613
Line 265,2025,5,1417,632,560
Line 266,2024,7,5042,3894,3314
Line 266,2024,8,5364,4097,3543
Line 266,2024,9,5414,3909,3387
Line 266,2024,10,5573,4101,3511
Line 266,2024,11,5385,3907,3210
Line 266,2024,12,5323,3822,3287
Line 266,2025,1,5392,3965,3284
Line 266,2025,2,5371,3986,3525
Line 266,2025,3,5435,4125,3535
Line 266,2025,4,5738,4195,3685
Line 266,2025,5,5885,4204,3513
Line 267,2024,7,1364,791,615
Line 267,2024,8,1519,816,617
Line 267,2024,9,2038,871,621
Line 267,2024,10,2064,847,662
Line 267,2024,11,1791,847,666
Line 267,2024,12,1744,694,631
Line 267,2025,1,1548,725,570
Line 267,2025,2,1779,826,666
Line 267,2025,3,1993,807,724
Line 267,2025,4,1891,925,739
Line 267,2025,5,2018,803,772
Line 268,2024,7,678,457,363
Line 268,2024,8,684,474,383
Line 268,2024,9,750,536,381
Line 268,2024,10,786,503,409
Line 268,2024,11,757,489,447
Line 268,2024,12,779,502,424
Line 268,2025,1,730,529,317
Line 268,2025,2,743,428,397
Line 268,2025,3,758,509,427
Line 268,2025,4,780,563,433
Line 268,2025,5,791,496,454
Line 287,2024,7,883,293,232
Line 287,2024,8,944,264,220
Line 287,2024,9,950,293,258
Line 287,2024,10,959,320,251
Line 287,2024,11,971,293,240
Line 287,2024,12,997,317,231
Line 287,2025,1,985,318,219
Line 287,2025,2,949,320,263
Line 287,2025,3,964,310,240
Line 287,2025,4,994,313,258
Line 287,2025,5,1008,333,254
Line 294,2024,7,1366,1140,1009
Line 294,2024,8,1438,1201,983
Line 294,2024,9,1490,1201,1030
Line 294,2024,10,1463,1259,1017
Line 294,2024,11,1367,1190,900
Line 294,2024,12,1311,1099,898
Line 294,2025,1,1337,1131,810
Line 294,2025,2,1311,1125,1002
Line 294,2025,3,1356,1229,914
Line 294,2025,4,1424,1240,1033
Line 294,2025,5,1448,1140,966
Line 296,2024,12,264,228,260
Line 296,2025,1,552,361,296
Line 296,2025,2,571,466,409
Line 296,2025,3,618,487,363
Line 296,2025,4,665,456,449
Line 296,2025,5,654,487,465
Line 344,2024,7,1381,954,787
Line 344,2024,8,1381,1033,914
Line 344,2024,9,1473,1050,902
Line 344,2024,10,1466,1033,861
Line 344,2024,11,1390,987,803
Line 344,2024,12,1433,1038,845
Line 344,2025,1,1406,1012,798
Line 344,2025,2,1425,1065,830
Line 344,2025,3,1376,1001,798
Line 344,2025,4,1454,964,825
Line 344,2025,5,1518,991,871
Line 460,2024,7,4089,3354,2841
Line 460,2024,8,4504,3474,3166
Line 460,2024,9,4609,3358,2944
Line 460,2024,10,4512,3421,2934
Line 460,2024,11,4299,3321,2870
Line 460,2024,12,4019,3298,2776
Line 460,2025,1,4146,3325,2720
Line 460,2025,2,4165,3349,2875
Line 460,2025,3,4226,3543,2938
Line 460,2025,4,4254,3327,3011
Line 460,2025,5,4328,3421,2974
Line 487,2024,7,1228,516,455
Line 487,2024,8,1335,476,448
Line 487,2024,9,1554,500,437
Line 487,2024,10,1530,489,458
Line 487,2024,11,1410,491,439
Line 487,2024,12,1284,441,424
Line 487,2025,1,1290,502,419
Line 487,2025,2,1378,545,447
Line 487,2025,3,1424,566,441
Line 487,2025,4,1435,595,478
Line 487,2025,5,1504,591,442
Line 501,2024,7,1171,681,592
Line 501,2024,8,1298,786,657
Line 501,2024,9,1361,762,682
Line 501,2024,10,1369,838,676
Line 501,2024,11,1332,737,643
Line 501,2024,12,1262,768,653
Line 501,2025,1,1174,600,579
Line 501,2025,2,1295,851,674
Line 501,2025,3,1360,737,673
Line 501,2025,4,1411,787,695
Line 501,2025,5,1456,842,706
Line 550,2024,7,363,null,null
Line 550,2024,8,408,null,null
Line 550,2024,9,455,null,null
Line 550,2024,10,479,null,null
Line 550,2024,11,468,null,null
Line 550,2024,12,430,null,null
Line 550,2025,1,418,null,null
Line 550,2025,2,444,null,null
Line 550,2025,3,441,null,null
Line 550,2025,4,445,null,null
Line 550,2025,5,455,null,null
Line 577,2024,7,553,null,null
Line 577,2024,8,813,null,null
Line 577,2024,9,1323,null,null
Line 577,2024,10,1281,null,null
Line 577,2024,11,1027,null,null
Line 577,2024,12,874,null,null
Line 577,2025,1,768,null,null
Line 577,2025,2,1112,null,null
Line 577,2025,3,1097,null,null
Line 577,2025,4,1071,null,null
Line 577,2025,5,779,null,null
Line 601,2024,7,333,212,291
Line 601,2024,8,337,210,236
Line 601,2024,9,376,203,307
Line 601,2024,10,349,237,228
Line 601,2024,11,379,235,186
Line 601,2024,12,314,264,215
Line 601,2025,1,388,267,197
Line 601,2025,2,365,318,315
Line 601,2025,3,361,246,209
Line 601,2025,4,362,369,169
Line 601,2025,5,365,198,206
Line 602,2024,7,698,496,458
Line 602,2024,8,999,517,430
Line 602,2024,9,1228,549,521
Line 602,2024,10,1200,763,626
Line 602,2024,11,1052,650,579
Line 602,2024,12,891,499,378
Line 602,2025,1,432,219,213
Line 602,2025,2,600,330,264
Line 602,2025,3,465,274,232
Line 602,2025,4,537,288,174
Line 602,2025,5,570,251,245
Line 603,2024,7,7105,6035,4772
Line 603,2024,8,7639,6493,5358
Line 603,2024,9,8067,6369,4942
Line 603,2024,10,8134,6459,5043
Line 603,2024,11,7953,6049,4795
Line 603,2024,12,7622,5889,4247
Line 603,2025,1,7547,5525,4329
Line 603,2025,2,7459,6190,4799
Line 603,2025,3,7466,5999,4806
Line 603,2025,4,7730,6209,5042
Line 603,2025,5,7824,6353,4973
Line 605,2024,7,2009,1290,1032
Line 605,2024,8,2321,1341,1008
Line 605,2024,9,2489,1348,1108
Line 605,2024,10,2520,1368,941
Line 605,2024,11,2423,1377,1008
Line 605,2024,12,2270,1327,1079
Line 605,2025,1,2301,1256,923
Line 605,2025,2,2474,1439,1087
Line 605,2025,3,2553,1383,1033
Line 605,2025,4,2479,1292,1122
Line 605,2025,5,2636,1336,1165
Line 611,2024,7,1339,976,861
Line 611,2024,8,1458,1082,998
Line 611,2024,9,1462,987,877
Line 611,2024,10,1473,1059,968
Line 611,2024,11,1393,979,790
Line 611,2024,12,1313,971,830
Line 611,2025,1,1306,976,782
Line 611,2025,2,1273,1043,841
Line 611,2025,3,1313,1027,905
Line 611,2025,4,1325,956,904
Line 611,2025,5,1403,920,865
Line 617,2024,7,634,326,284
Line 617,2024,8,669,350,347
Line 617,2024,9,710,329,338
Line 617,2024,10,683,331,352
Line 617,2024,11,641,335,298
Line 617,2024,12,603,271,268
Line 617,2025,1,610,260,239
Line 617,2025,2,621,349,296
Line 617,2025,3,619,317,321
Line 617,2025,4,650,322,296
Line 617,2025,5,687,321,326
Line 660,2024,7,803,822,836
Line 660,2024,8,809,852,842
Line 660,2024,9,798,839,820
Line 660,2024,10,818,943,792
Line 660,2024,11,772,797,688
Line 660,2024,12,823,701,714
Line 660,2025,1,583,767,625
Line 660,2025,2,507,643,576
Line 660,2025,3,515,606,556
Line 660,2025,4,533,661,596
Line 660,2025,5,559,690,557
Line 662,2024,7,1803,1515,1287
Line 662,2024,8,2002,1589,1309
Line 662,2024,9,2196,1604,1363
Line 662,2024,10,2233,1512,1377
Line 662,2024,11,2051,1609,1300
Line 662,2024,12,2090,1595,1170
Line 662,2025,1,1265,1014,923
Line 662,2025,2,1447,1122,1028
Line 662,2025,3,1469,1210,1001
Line 662,2025,4,1487,1194,1008
Line 662,2025,5,1571,1210,1005
Line 665,2024,7,447,342,304
Line 665,2024,8,557,383,277
Line 665,2024,9,682,387,317
Line 665,2024,10,682,410,317
Line 665,2024,11,610,375,317
Line 665,2024,12,568,313,198
Line 665,2025,1,682,329,256
Line 665,2025,2,731,418,335
Line 665,2025,3,734,400,345
Line 665,2025,4,715,383,335
Line 665,2025,5,760,417,358
Line 690,2024,7,993,659,512
Line 690,2024,8,1105,696,555
Line 690,2024,9,1248,715,540
Line 690,2024,10,1243,636,547
Line 690,2024,11,1116,661,515
Line 690,2024,12,1066,588,456
Line 690,2025,1,1040,651,431
Line 690,2025,2,1075,622,555
Line 690,2025,3,1130,602,535
Line 690,2025,4,1170,625,503
Line 690,2025,5,1266,664,566
Line 720,2024,7,19811,14056,12179
Line 720,2024,8,20584,14875,12567
Line 720,2024,9,20932,14598,13084
Line 720,2024,10,20814,14894,11894
Line 720,2024,11,19871,13907,11757
Line 720,2024,12,19282,14544,11426
Line 720,2025,1,19065,13430,10840
Line 720,2025,2,19486,14557,12045
Line 720,2025,3,18991,13954,10790
Line 720,2025,4,19365,13587,10929
Line 720,2025,5,20396,14871,12309
Line 754,2024,7,13023,9555,7850
Line 754,2024,8,14209,9983,8372
Line 754,2024,9,14843,9755,7490
Line 754,2024,10,14996,9441,7825
Line 754,2024,11,14129,9580,7915
Line 754,2024,12,13290,9561,7522
Line 754,2025,1,13409,8881,6526
Line 754,2025,2,13661,9951,7786
Line 754,2025,3,13827,9431,7837
Line 754,2025,4,14214,9538,7838
Line 754,2025,5,14403,9213,7677
Line 761,2024,7,6954,3883,3153
Line 761,2024,8,7332,4163,3356
Line 761,2024,9,7851,4190,3525
Line 761,2024,10,7765,4607,3758
Line 761,2024,11,7394,4281,3592
Line 761,2024,12,6976,3912,3160
Line 761,2025,1,6512,3554,2637
Line 761,2025,2,6898,4254,3276
Line 761,2025,3,6910,4379,3264
Line 761,2025,4,7339,4208,3711
Line 761,2025,5,7443,4334,3715
Line 857,2024,7,658,600,600
Line 857,2024,8,657,598,600
Line 857,2024,9,660,587,600
Line 857,2024,10,658,587,600
Line 857,2024,11,657,600,600
Line 857,2024,12,782,645,671
Line 857,2025,1,736,751,598
Line 857,2025,2,821,807,705
Line 857,2025,3,810,709,657
Line 857,2025,4,846,743,702
Line 857,2025,5,898,731,796
G Line,2024,7,12260,8719,7622
G Line,2024,8,13325,8902,7628
G Line,2024,9,15475,9318,7873
G Line,2024,10,14981,9783,7833
G Line,2024,11,14034,9094,7569
G Line,2024,12,12878,9095,7583
G Line,2025,1,12336,8217,6668
G Line,2025,2,13225,8698,7592
G Line,2025,3,12938,8158,7132
G Line,2025,4,12851,8399,7297
G Line,2025,5,13200,8063,7250
J Line,2024,7,14732,8840,7234
J Line,2024,8,16062,8980,7510
J Line,2024,9,17994,9136,7469
J Line,2024,10,18093,9737,7818
J Line,2024,11,16746,9134,7303
J Line,2024,12,15015,8836,6966
J Line,2025,1,15056,8537,6845
J Line,2025,2,16617,8923,7180
J Line,2025,3,16518,9242,7540
J Line,2025,4,16534,9146,7787
J Line,2025,5,16106,8837,7442
