line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 51,2024,9,19151,14481,11743
Line 51,2024,10,19259,14834,11870
Line 51,2024,11,18470,14634,11919
Line 51,2024,12,17727,14985,11036
Line 51,2025,1,18457,14779,10643
Line 51,2025,2,18381,15089,11826
Line 51,2025,3,17702,14306,10541
Line 51,2025,4,17578,13254,10507
Line 51,2025,5,18750,14148,11550
Line 53,2024,7,10954,7590,6316
Line 53,2024,8,11827,8213,6540
Line 53,2024,9,12445,8083,6274
Line 53,2024,10,12401,7819,6339
Line 53,2024,11,11581,7761,6359
Line 53,2024,12,11112,7466,5942
Line 53,2025,1,11610,7212,5826
Line 53,2025,2,11404,7995,6355
Line 53,2025,3,11872,8187,6547
Line 53,2025,4,11854,7877,6744
Line 53,2025,5,12302,8063,6621
Line 55,2024,7,6839,4625,3555
Line 55,2024,8,7772,4650,3726
Line 55,2024,9,8364,4580,3699
Line 55,2024,10,8379,4834,3628
Line 55,2024,11,7679,4624,3715
Line 55,2024,12,7116,4629,3507
Line 55,2025,1,7658,4703,3395
Line 55,2025,2,7821,5143,3845
Line 55,2025,3,8020,4912,3434
Line 55,2025,4,7975,4526,3810
Line 55,2025,5,8490,4914,3884
Line 60,2024,7,13948,10153,8010
Line 60,2024,8,14324,9930,8275
Line 60,2024,9,15093,10000,8031
Line 60,2024,10,15284,9883,8063
Line 60,2024,11,14591,10174,7971
Line 60,2024,12,13854,9471,7599
Line 60,2025,1,14327,9515,7217
Line 60,2025,2,14075,10034,7999
Line 60,2025,3,14403,10254,7833
Line 60,2025,4,14814,9650,7740
Line 60,2025,5,15046,9965,8445
Line 62,2024,7,3104,2284,1831
Line 62,2024,8,3212,2436,1842
Line 62,2024,9,3286,2353,1909
Line 62,2024,10,3226,2378,1812
Line 62,2024,11,3177,2447,2055
Line 62,2024,12,3227,2471,1832
Line 62,2025,1,3141,2219,1768
Line 62,2025,2,2876,2280,1956
Line 62,2025,3,2956,2265,1823
Line 62,2025,4,3108,2221,1969
Line 62,2025,5,3152,2330,1950
Line 66,2024,7,12161,9273,7140
Line 66,2024,8,12904,9496,7290
Line 66,2024,9,13451,9739,6955
Line 66,2024,10,13261,9808,7099
Line 66,2024,11,12744,9387,7157
Line 66,2024,12,12371,9841,7118
Line 66,2025,1,12667,9419,6703
Line 66,2025,2,12429,9775,7542
Line 66,2025,3,13193,10031,7352
Line 66,2025,4,13152,9736,7720
Line 66,2025,5,13801,9876,7768
Line 70,2024,7,14560,10975,9426
Line 70,2024,8,15189,11459,9828
Line 70,2024,9,16485,11242,9446
Line 70,2024,10,16425,11108,9098
Line 70,2024,11,15416,11137,9752
Line 70,2024,12,15168,11254,9570
Line 70,2025,1,15285,11347,8745
Line 70,2025,2,15244,11061,9947
Line 70,2025,3,15565,11671,9593
Line 70,2025,4,15459,10651,9909
Line 70,2025,5,15817,11019,9803
Line 76,2024,7,5640,4573,3811
Line 76,2024,8,5966,4755,3802
Line 76,2024,9,6297,4637,3855
Line 76,2024,10,6275,5008,3939
Line 76,2024,11,6075,4733,3818
Line 76,2024,12,6094,4878,3811
Line 76,2025,1,6300,4653,3519
Line 76,2025,2,6140,4981,4088
Line 76,2025,3,6216,4994,4266
Line 76,2025,4,6275,4767,4219
Line 76,2025,5,6335,4747,4067
Line 78,2024,7,6497,4375,3730
Line 78,2024,8,6932,4746,4144
Line 78,2024,9,7166,4648,3834
Line 78,2024,10,7145,4558,4179
Line 78,2024,11,6852,4710,3825
Line 78,2024,12,7078,4339,3372
Line 78,2025,1,6807,4182,3584
Line 78,2025,2,6859,4664,3878
Line 78,2025,3,7015,4700,4000
Line 78,2025,4,7279,4582,4208
Line 78,2025,5,7549,4701,4091
Line 81,2024,7,9408,7287,6194
Line 81,2024,8,9796,7458,6026
Line 81,2024,9,10306,7198,5899
Line 81,2024,10,10429,7405,6268
