
=== Comparison Metrics (MILP vs Greedy vs Baselines) ===
Top-K Heat       : n=20,heat_sum=130.87, socio_sum=80.10,heat_socio_sum=210.97, top-decile hits=20/23, public_access=6.02, close_pairs<500m=1, area_coverage=2285558.37, heat_coverage=14590566.78, socio_coverage=9026517.87
Top-K Socio      : n=20,heat_sum=67.31, socio_sum=83.96,heat_socio_sum=151.27, top-decile hits=8/23, public_access=6.03, close_pairs<500m=3, area_coverage=2162302.72, heat_coverage=7247455.30, socio_coverage=8871252.77
Top-K Public     : n=20,heat_sum=24.62, socio_sum=73.31,heat_socio_sum=97.93, top-decile hits=3/23, public_access=34.86, close_pairs<500m=6, area_coverage=1948449.26, heat_coverage=3675449.33, socio_coverage=7321875.72
Top-K HS         : n=20,heat_sum=129.43, socio_sum=82.60,heat_socio_sum=212.03, top-decile hits=20/23, public_access=4.36, close_pairs<500m=3, area_coverage=2158492.07, heat_coverage=13538317.63, socio_coverage=8818589.29
Top-K HSP        : n=20,heat_sum=94.09, socio_sum=79.14,heat_socio_sum=173.24, top-decile hits=7/23, public_access=27.61, close_pairs<500m=1, area_coverage=2245609.35, heat_coverage=10384650.29, socio_coverage=8905664.01
MILP-Heat        : n=20,heat_sum=131.10, socio_sum=80.02,heat_socio_sum=211.12, top-decile hits=20/23, public_access=6.02, close_pairs<500m=1, area_coverage=2286892.62, heat_coverage=14677984.69, socio_coverage=9028076.40
MILP-Socio       : n=20,heat_sum=67.31, socio_sum=83.96,heat_socio_sum=151.27, top-decile hits=8/23, public_access=6.03, close_pairs<500m=3, area_coverage=2162302.72, heat_coverage=7247455.30, socio_coverage=8871252.77
MILP-Public      : n=20,heat_sum=27.36, socio_sum=72.86,heat_socio_sum=100.23, top-decile hits=3/23, public_access=37.14, close_pairs<500m=2, area_coverage=2259084.68, heat_coverage=3445591.43, socio_coverage=8214197.43
MILP-HSP         : n=20,heat_sum=99.26, socio_sum=84.15,heat_socio_sum=183.41, top-decile hits=9/23, public_access=26.95, close_pairs<500m=1, area_coverage=2202740.73, heat_coverage=10528578.26, socio_coverage=9188833.21
MILP             : n=20,heat_sum=98.75, socio_sum=83.65,heat_socio_sum=182.40, top-decile hits=9/23, public_access=26.95, close_pairs<500m=0, area_coverage=2299262.48, heat_coverage=11142912.10, socio_coverage=9566385.74
Greedy           : n=20,heat_sum=98.76, socio_sum=83.65,heat_socio_sum=182.40, top-decile hits=9/23, public_access=26.95, close_pairs<500m=0, area_coverage=2299262.48, heat_coverage=11166565.21, socio_coverage=9568926.74
Random           : n=20,heat_sum=-0.69, socio_sum=70.26,heat_socio_sum=69.56, top-decile hits=1/23, public_access=9.70, close_pairs<500m=0, area_coverage=2412676.04, heat_coverage=470970.51, socio_coverage=8500404.42
