
=== Comparison Metrics (MILP vs Greedy vs Baselines) ===
Top-K Heat       : n=20,heat_sum=130.87, socio_sum=80.10,heat_socio_sum=210.97, top-decile hits=20/23, public_access=2.67, close_pairs<500m=1, area_coverage=1346652.61, heat_coverage=8728913.66, socio_coverage=5358539.15
Top-K Socio      : n=20,heat_sum=67.31, socio_sum=83.96,heat_socio_sum=151.27, top-decile hits=8/23, public_access=3.46, close_pairs<500m=3, area_coverage=1274406.76, heat_coverage=4356650.35, socio_coverage=5264058.53
Top-K Public     : n=20,heat_sum=24.62, socio_sum=73.31,heat_socio_sum=97.93, top-decile hits=3/23, public_access=22.48, close_pairs<500m=4, area_coverage=1181461.67, heat_coverage=2197616.65, socio_coverage=4445395.15
Top-K HS         : n=20,heat_sum=129.43, socio_sum=82.60,heat_socio_sum=212.03, top-decile hits=20/23, public_access=2.67, close_pairs<500m=2, area_coverage=1296089.13, heat_coverage=8285069.48, socio_coverage=5327864.97
Top-K HSP        : n=20,heat_sum=94.09, socio_sum=79.14,heat_socio_sum=173.24, top-decile hits=7/23, public_access=13.97, close_pairs<500m=1, area_coverage=1351091.77, heat_coverage=6296400.27, socio_coverage=5362616.12
MILP-Heat        : n=20,heat_sum=131.10, socio_sum=80.02,heat_socio_sum=211.12, top-decile hits=20/23, public_access=2.67, close_pairs<500m=1, area_coverage=1346652.61, heat_coverage=8752154.72, socio_coverage=5353146.99
MILP-Socio       : n=20,heat_sum=67.31, socio_sum=83.96,heat_socio_sum=151.27, top-decile hits=8/23, public_access=3.46, close_pairs<500m=3, area_coverage=1274406.76, heat_coverage=4356650.35, socio_coverage=5264058.53
MILP-Public      : n=20,heat_sum=15.91, socio_sum=73.53,heat_socio_sum=89.43, top-decile hits=2/23, public_access=27.26, close_pairs<500m=2, area_coverage=1307766.37, heat_coverage=1120240.94, socio_coverage=4808167.01
MILP-HSP         : n=20,heat_sum=101.53, socio_sum=84.24,heat_socio_sum=185.78, top-decile hits=11/23, public_access=16.48, close_pairs<500m=1, area_coverage=1335514.69, heat_coverage=6621014.57, socio_coverage=5593767.06
MILP             : n=20,heat_sum=101.03, socio_sum=83.74,heat_socio_sum=184.77, top-decile hits=11/23, public_access=16.48, close_pairs<500m=0, area_coverage=1396722.47, heat_coverage=7029952.42, socio_coverage=5839337.07
Greedy           : n=20,heat_sum=101.03, socio_sum=83.74,heat_socio_sum=184.77, top-decile hits=11/23, public_access=16.48, close_pairs<500m=0, area_coverage=1384477.47, heat_coverage=6941036.63, socio_coverage=5783105.32
Random           : n=20,heat_sum=-0.69, socio_sum=70.26,heat_socio_sum=69.56, top-decile hits=1/23, public_access=5.40, close_pairs<500m=0, area_coverage=1392427.30, heat_coverage=56808.44, socio_coverage=4885812.64
