
=== Comparison Metrics (MILP vs Greedy vs Baselines) ===
Top-K Heat       : n=10,heat_sum=70.71, socio_sum=37.78,heat_socio_sum=108.49, top-decile hits=10/23, public_access=0.00, close_pairs<500m=0, area_coverage=692225.56, heat_coverage=4876767.71, socio_coverage=2608263.39
Top-K Socio      : n=10,heat_sum=25.38, socio_sum=40.76,heat_socio_sum=66.14, top-decile hits=5/23, public_access=1.76, close_pairs<500m=1, area_coverage=662788.83, heat_coverage=1912464.25, socio_coverage=2646486.91
Top-K Public     : n=10,heat_sum=35.47, socio_sum=41.54,heat_socio_sum=77.01, top-decile hits=2/23, public_access=13.05, close_pairs<500m=0, area_coverage=686609.18, heat_coverage=2415723.01, socio_coverage=2847141.40
Top-K HS         : n=10,heat_sum=66.18, socio_sum=42.95,heat_socio_sum=109.13, top-decile hits=10/23, public_access=1.76, close_pairs<500m=1, area_coverage=643261.50, heat_coverage=4209529.87, socio_coverage=2742040.76
Top-K HSP        : n=10,heat_sum=44.17, socio_sum=40.19,heat_socio_sum=84.37, top-decile hits=4/23, public_access=12.19, close_pairs<500m=0, area_coverage=693841.01, heat_coverage=3030326.06, socio_coverage=2788274.80
MILP-Heat        : n=10,heat_sum=69.82, socio_sum=38.73,heat_socio_sum=108.55, top-decile hits=10/23, public_access=1.76, close_pairs<500m=0, area_coverage=705722.13, heat_coverage=4908701.27, socio_coverage=2740055.05
MILP-Socio       : n=10,heat_sum=25.38, socio_sum=40.76,heat_socio_sum=66.14, top-decile hits=5/23, public_access=1.76, close_pairs<500m=1, area_coverage=662788.83, heat_coverage=1912464.25, socio_coverage=2646486.91
MILP-Public      : n=10,heat_sum=5.04, socio_sum=38.15,heat_socio_sum=43.19, top-decile hits=1/23, public_access=18.38, close_pairs<500m=0, area_coverage=693842.30, heat_coverage=348827.02, socio_coverage=2633805.99
MILP-HSP         : n=10,heat_sum=54.82, socio_sum=42.06,heat_socio_sum=96.88, top-decile hits=7/23, public_access=10.50, close_pairs<500m=1, area_coverage=643261.50, heat_coverage=3402151.89, socio_coverage=2674847.17
MILP             : n=10,heat_sum=55.01, socio_sum=41.96,heat_socio_sum=96.98, top-decile hits=7/23, public_access=10.50, close_pairs<500m=0, area_coverage=692224.28, heat_coverage=3771480.05, socio_coverage=2892663.76
Greedy           : n=10,heat_sum=55.01, socio_sum=41.96,heat_socio_sum=96.98, top-decile hits=7/23, public_access=10.50, close_pairs<500m=0, area_coverage=692224.28, heat_coverage=3771480.05, socio_coverage=2892663.76
Random           : n=10,heat_sum=-20.11, socio_sum=33.03,heat_socio_sum=12.92, top-decile hits=0/23, public_access=0.85, close_pairs<500m=0, area_coverage=699678.69, heat_coverage=-1328442.07, socio_coverage=2286863.78
